calendar_id,date,type
REG_LaV,20150223,0
REG_LaV,20150224,0
REG_LaV,20150225,0
REG_LaV,20150226,0
REG_LaV,20150227,0
REG_LaV,20150228,0
REG_LaV,20150301,0
REG_LaV,20150302,0
REG_LaV,20150303,0
REG_LaV,20150304,0
REG_LaV,20150305,0
REG_LaV,20150306,0
REG_LaV,20150307,0
REG_LaV,20150308,0
REG_LaV,20150425,0
REG_LaV,20150426,0
REG_LaV,20150427,0
REG_LaV,20150428,0
REG_LaV,20150429,0
REG_LaV,20150430,0
REG_LaV,20150501,0
REG_LaV,20150502,0
REG_LaV,20150503,0
REG_LaV,20150504,0
REG_LaV,20150505,0
REG_LaV,20150506,0
REG_LaV,20150507,0
REG_LaV,20150508,0
REG_LaV,20150509,0
REG_LaV,20150510,0
REG_S,20150223,0
REG_S,20150224,0
REG_S,20150225,0
REG_S,20150226,0
REG_S,20150227,0
REG_S,20150228,0
REG_S,20150301,0
REG_S,20150302,0
REG_S,20150303,0
REG_S,20150304,0
REG_S,20150305,0
REG_S,20150306,0
REG_S,20150307,0
REG_S,20150308,0
REG_S,20150425,0
REG_S,20150426,0
REG_S,20150427,0
REG_S,20150428,0
REG_S,20150429,0
REG_S,20150430,0
REG_S,20150501,0
REG_S,20150502,0
REG_S,20150503,0
REG_S,20150504,0
REG_S,20150505,0
REG_S,20150506,0
REG_S,20150507,0
REG_S,20150508,0
REG_S,20150509,0
REG_S,20150510,0
REG_DJF,20150223,0
REG_DJF,20150224,0
REG_DJF,20150225,0
REG_DJF,20150226,0
REG_DJF,20150227,0
REG_DJF,20150228,0
REG_DJF,20150301,0
REG_DJF,20150302,0
REG_DJF,20150303,0
REG_DJF,20150304,0
REG_DJF,20150305,0
REG_DJF,20150306,0
REG_DJF,20150307,0
REG_DJF,20150308,0
REG_DJF,20150425,0
REG_DJF,20150426,0
REG_DJF,20150427,0
REG_DJF,20150428,0
REG_DJF,20150429,0
REG_DJF,20150430,0
REG_DJF,20150501,0
REG_DJF,20150502,0
REG_DJF,20150503,0
REG_DJF,20150504,0
REG_DJF,20150505,0
REG_DJF,20150506,0
REG_DJF,20150507,0
REG_DJF,20150508,0
REG_DJF,20150509,0
REG_DJF,20150510,0
VAC_LaV,20150223,1
VAC_LaV,20150224,1
VAC_LaV,20150225,1
VAC_LaV,20150226,1
VAC_LaV,20150227,1
VAC_LaV,20150302,1
VAC_LaV,20150303,1
VAC_LaV,20150304,1
VAC_LaV,20150305,1
VAC_LaV,20150306,1
VAC_LaV,20150427,1
VAC_LaV,20150428,1
VAC_LaV,20150429,1
VAC_LaV,20150430,1
VAC_LaV,20150504,1
VAC_LaV,20150505,1
VAC_LaV,20150506,1
VAC_LaV,20150507,1
VAC_S,20150228,1
VAC_S,20150307,1
VAC_S,20150425,1
VAC_S,20150502,1
VAC_S,20150509,1
VAC_DJF,20150301,1
VAC_DJF,20150308,1
VAC_DJF,20150426,1
VAC_DJF,20150503,1
VAC_DJF,20150510,1
VAC_DJF,20150501,1
VAC_DJF,20150508,1
REG_LaV,20150406,0
